id,any_map_edits_in_planning,any_model_either,any_model_either_impact,any_button_human,any_button_sparrow
720914ce,FALSE,FALSE,FALSE,FALSE,FALSE
dc71c4e7,FALSE,TRUE,FALSE,TRUE,FALSE
741c45a8,FALSE,TRUE,FALSE,FALSE,FALSE
adb5d46d,TRUE,TRUE,FALSE,TRUE,TRUE
5c410edb,FALSE,TRUE,FALSE,FALSE,FALSE
3dd7e1f7,FALSE,TRUE,FALSE,TRUE,TRUE
04b62292,TRUE,TRUE,TRUE,TRUE,TRUE
0945f98a,TRUE,TRUE,TRUE,TRUE,TRUE
e4b7a544,FALSE,FALSE,FALSE,FALSE,FALSE
2c23ed2c,FALSE,TRUE,FALSE,TRUE,TRUE
638bb688,FALSE,FALSE,FALSE,FALSE,FALSE
4822bc1e,FALSE,TRUE,FALSE,FALSE,FALSE
e977326b,FALSE,FALSE,FALSE,FALSE,FALSE
e8eb91c3,FALSE,TRUE,FALSE,TRUE,TRUE
01b26bec,FALSE,TRUE,FALSE,TRUE,TRUE
ec3589b0,FALSE,FALSE,FALSE,FALSE,FALSE
f6a00867,TRUE,TRUE,TRUE,TRUE,TRUE
1caef7ed,FALSE,TRUE,FALSE,TRUE,FALSE
9bb4ed4e,FALSE,TRUE,FALSE,TRUE,TRUE
48e720a2,TRUE,TRUE,TRUE,FALSE,TRUE
49856dd1,FALSE,TRUE,FALSE,TRUE,TRUE
cc18f4bb,FALSE,TRUE,FALSE,TRUE,TRUE
113d24bd,FALSE,TRUE,FALSE,FALSE,FALSE
3320fdae,FALSE,TRUE,FALSE,TRUE,TRUE
0cf66c90,FALSE,TRUE,FALSE,FALSE,FALSE
436c8279,FALSE,TRUE,FALSE,TRUE,TRUE
f9c4c3b2,TRUE,TRUE,FALSE,TRUE,TRUE
f4ba96da,FALSE,TRUE,FALSE,TRUE,TRUE
5125f85f,FALSE,TRUE,FALSE,TRUE,TRUE
965ffdf6,FALSE,TRUE,FALSE,TRUE,TRUE
ec7e9962,FALSE,TRUE,FALSE,FALSE,FALSE
03016d2b,TRUE,TRUE,TRUE,TRUE,TRUE
8d216b43,FALSE,TRUE,TRUE,TRUE,TRUE
d143de16,FALSE,TRUE,FALSE,TRUE,TRUE
f1601a57,FALSE,FALSE,FALSE,FALSE,FALSE
670ba65f,TRUE,TRUE,FALSE,TRUE,TRUE
f9cc2e5a,FALSE,FALSE,FALSE,FALSE,FALSE
c391b94b,FALSE,TRUE,TRUE,TRUE,TRUE
57ed2b5b,FALSE,FALSE,FALSE,FALSE,FALSE
16f33d9d,FALSE,TRUE,FALSE,FALSE,FALSE
f79569ff,FALSE,FALSE,FALSE,FALSE,FALSE
289cb84b,FALSE,FALSE,FALSE,FALSE,FALSE
0379257d,FALSE,TRUE,FALSE,FALSE,FALSE
98f91db8,FALSE,TRUE,FALSE,TRUE,TRUE
61eedba0,FALSE,FALSE,FALSE,FALSE,FALSE
985d8789,FALSE,TRUE,FALSE,TRUE,FALSE
cdabc651,FALSE,FALSE,FALSE,FALSE,FALSE
49a29b88,FALSE,TRUE,FALSE,TRUE,TRUE
d1140e72,FALSE,TRUE,FALSE,TRUE,TRUE
c80e2b8f,FALSE,FALSE,FALSE,FALSE,FALSE
1627a689,FALSE,TRUE,FALSE,TRUE,TRUE
2f6c7b60,TRUE,TRUE,FALSE,TRUE,TRUE
dc858cf3,FALSE,FALSE,FALSE,FALSE,FALSE
46b1856c,FALSE,TRUE,FALSE,TRUE,TRUE
4e1c873d,FALSE,TRUE,FALSE,FALSE,FALSE
507f0bdc,FALSE,TRUE,FALSE,TRUE,TRUE
de47f992,FALSE,FALSE,FALSE,FALSE,FALSE
f42e7cdb,FALSE,TRUE,FALSE,FALSE,FALSE
8aa1abc9,FALSE,FALSE,FALSE,FALSE,FALSE
76258afd,TRUE,TRUE,FALSE,TRUE,TRUE
1fa613bb,FALSE,TRUE,FALSE,TRUE,TRUE
2fc09eeb,FALSE,TRUE,FALSE,TRUE,TRUE
2cbddd08,TRUE,TRUE,TRUE,TRUE,TRUE
fec8df66,FALSE,FALSE,FALSE,FALSE,FALSE
aaa63b7e,FALSE,TRUE,FALSE,TRUE,TRUE
8216bf24,TRUE,TRUE,FALSE,TRUE,TRUE
79846938,FALSE,TRUE,FALSE,TRUE,TRUE
6c71924c,FALSE,TRUE,FALSE,FALSE,FALSE
6b81e829,FALSE,TRUE,FALSE,TRUE,TRUE
d35585bd,TRUE,TRUE,FALSE,TRUE,TRUE
4f340640,FALSE,TRUE,FALSE,TRUE,TRUE
