"id","Age","Sex","Student.status","Employment.status","Highest.education.level.completed"
"01b26bec","45","Male","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"03016d2b","32","Female","No","Full-Time","Doctorate degree (PhD/other)"
"0379257d","28","Female","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"04b62292","43","Male","No","DATA_EXPIRED","Graduate degree (MA/MSc/MPhil/other)"
"0945f98a","63","Male","No","Full-Time","Technical/community college"
"0cf66c90","41","Female","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"113d24bd","35","Male","No","Full-Time","Graduate degree (MA/MSc/MPhil/other)"
"1627a689","29","Male","Yes","Full-Time","Graduate degree (MA/MSc/MPhil/other)"
"16f33d9d","30","Female","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"1caef7ed","40","Female","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"1fa613bb","46","Female","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"289cb84b","39","Female","No","Full-Time","High school diploma/A-levels"
"2c23ed2c","50","Female","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"2cbddd08","58","Male","No","Full-Time","High school diploma/A-levels"
"2f6c7b60","31","Female","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"2fc09eeb","58","Female","No","Full-Time","Graduate degree (MA/MSc/MPhil/other)"
"3320fdae","51","Male","No","DATA_EXPIRED","High school diploma/A-levels"
"3dd7e1f7","37","Male","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"436c8279","53","Female","No","Part-Time","Technical/community college"
"46b1856c","61","Female","No","Full-Time","Graduate degree (MA/MSc/MPhil/other)"
"4822bc1e","31","Female","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"48e720a2","59","Male","Yes","Full-Time","Undergraduate degree (BA/BSc/other)"
"49856dd1","41","Female","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"49a29b88","50","Male","No","Full-Time","Undergraduate degree (BA/BSc/other)"
"4e1c873d","35","Male","No","Full-Time","Graduate degree (MA/MSc/MPhil/other)"
"4f340640","28","Female","No","Full-Time","Graduate degree (MA/MSc/MPhil/other)"
"507f0bdc","24","Male","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","High school diploma/A-levels"
"5125f85f","28","Female","No","Full-Time","Graduate degree (MA/MSc/MPhil/other)"
"57ed2b5b","35","Female","No","Full-Time","Undergraduate degree (BA/BSc/other)"
