"name"	"source"	"tool_found"	"url"	"article_or_resources"	"networked"	"model"	"eds"	"update"	"environmental_conditions"
"iMapInvasives"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.ltc.imapapp&hl=en"	"https://www.imapinvasives.org/"	"YES"	"NO"	"NO"	"NO"	"NO"
"CitSci"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.nrel.citsci&hl=en_US&gl=US"	"https://citsci.org/"	"YES"	"NO"	"NO"	"NO"	"NO"
"BirdTrack"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=org.bto.btapp&hl=en_GB"	"https://www.bto.org/get-involved/volunteer/projects/birdtrack/about-birdtrack-app"	"YES"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"NO"
"BeeWatch: Beekeeper Apiary Management System"	"WoS"	"YES"	"https://www.bee.watch/beekeeper-apiary-management-system"	NA	"YES"	"NO"	"NO"	"NO"	"NO"
"LeafSnap Plant Identification"	"WoS"	"YES"	"https://leafsnap.app/index.html"	"https://link.springer.com/chapter/10.1007/978-3-642-33709-3_36"	"YES"	"YES"	"NO"	"NO"	"NO"
"EDDMapS mobile app."	"WoS"	"YES"	"https://www.eddmaps.org/apps.cfm"	"https://www.cabidigitallibrary.org/doi/abs/10.1079/9781800621459.0012"	"YES"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"NO"
"iRecord Butterflies"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.natural_apptitude.butterfly&hl=en_GB"	"https://butterfly-conservation.org/our-work/recording-and-monitoring/irecord-butterflies"	"YES"	"YES"	"NO"	"UNKNOWN"	"NO"
"OpenBioMaps"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.openbiomapsmobile"	"https://link.springer.com/article/10.1007/s12145-022-00818-3"	"YES"	"NO"	"NO"	"NO"	"NO"
"Papillonline"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=org.noe.papillons&hl=fr"	NA	"YES"	"YES"	"NO"	"UNKNOWN"	"NO"
"FeralScan Pest Mapping"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.invasiveanimals.feralscan_pest_mapping"	"https://www.tandfonline.com/doi/abs/10.1080/14486563.2025.2458286"	"YES"	"UNKNOWN"	"NO"	"UNKNOWN"	"NO"
"Litter Stopper"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.litterstoper&hl=en_US"	NA	"YES"	"NO"	"NO"	"NO"	"NO"
"EarthEcho Water Challenge"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=co.mwater.wwmc&hl=en_GB"	"https://www.tandfonline.com/doi/pdf/10.1080/00368555.2020.12293553"	"YES"	"NO"	"NO"	"NO"	"NO"
"Artsorakel (Artsobservasjoner)"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=no.artsdatabanken.orakel&hl=da"	"https://mobil.artsobservasjoner.no/"	"YES"	"YES"	"NO"	"YES"	"NO"
"India Biodiversity Portal (IBP)"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.mobisys.android.ibp"	"https://pmc.ncbi.nlm.nih.gov/articles/PMC5136667/"	"YES"	"NO"	"NO"	"NO"	"NO"
"INPN Espèces"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=fr.mnhn.inpnespeces&hl=fr"	"https://mnhn.hal.science/mnhn-04144189/document"	"YES"	"NO"	"NO"	"NO"	"NO"
"BelevingApp"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.rivm.belevingsapp"	"https://www.samenmeten.nl/beleving-app-rivm"	"YES"	"NO"	"NO"	"NO"	"NO"
"DengueChat"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=org.denguechatplus"	"https://pmc.ncbi.nlm.nih.gov/articles/PMC8641316/"	"YES"	"UNKNOWN"	"NO"	"UNKNOWN"	"UNKNOWN"
"Butterfly Australia"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=au.com.geometry.butterflies&hl=en_SG"	"https://onlinelibrary.wiley.com/doi/full/10.1111/aen.12513"	"YES"	"NO"	"NO"	"NO"	"NO"
"LastQuake"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=org.emsc_csem.lastquake&hl=en_GB"	"https://www.sciencedirect.com/science/article/pii/S2212420918302097"	"YES"	"NO"	"NO"	"NO"	"NO"
"Mosquito Altert"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=ceab.movelab.tigatrapp"	"https://www.mosquitoalert.com/en/"	"YES"	"NO"	"NO"	"NO"	"NO"
"Flora Capture"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.floraincognita.app.floracapture"	"https://link.springer.com/article/10.1186/s12859-020-03920-9"	"YES"	"NO"	"NO"	"NO"	"NO"
"OneBusAway"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.joulespersecond.seattlebusbot"	"https://homes.cs.washington.edu/~borning/papers/ferris-chi2010-onebusaway.pdf?utm_source=chatgpt.com"	"YES"	"YES"	"NO"	"NO"	"NO"
"Ikimono-Log"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=jp.go.biodic.ikilog.ikimonolog&hl=fr"	NA	"YES"	"NO"	"UNKNOWN"	"NO"	"UNKNOWN"
"i-Tree (USA)"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=org.itreetools.mytree"	"https://www.itreetools.org/"	"YES"	"YES"	"YES (explicit)"	"NO"	"YES"
"iNaturalist"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=org.inaturalist.android&hl=en_GB"	"https://www.publish.csiro.au/wr/wr20154"	"YES"	"YES"	"NO"	"YES"	"NO"
"eBird"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=edu.cornell.birds.ebird&hl=en_GB"	"https://www.sciencedirect.com/science/article/abs/pii/S000632070900216X"	"YES"	"YES"	"NO"	"YES"	"NO"
"FishVerify"	"WoS"	"YES"	"https://play.google.com/store/apps/details?id=com.fishverify"	"https://www.fishverify.com/#the_app"	"YES"	"YES"	"NO"	"UNKNOWN"	"NO"
