garden.guid,epsg3857.x,epsg3857.y,RUC21NM,RGN24NM,region_band
01b26bec-ad13-4a3d-8d8d-e153f442f9c6,-34307.671639169,7125153.7227939,Urban: Nearer to a major town or city,Yorkshire and The Humber,North England
03016d2b-2207-4404-8eaa-37cc13bfc8bc,-51237.939043864,6734251.5917824,Urban: Nearer to a major town or city,East of England,Mid England and Wales
0379257d-7e21-43d6-af5f-d9acc7afced9,-155387.99812969,7129589.186545,Urban: Nearer to a major town or city,Yorkshire and The Humber,North England
04b62292-9be8-4f0d-b927-87ba02d082c7,-35221.248736448,6724248.2514025,Urban: Nearer to a major town or city,London,South England
0945f98a-3ac2-4c73-8b18-0c046f7df162,-263799.06665988,6856540.4580845,Smaller rural: Nearer to a major town or city,West Midlands,Mid England and Wales
0cf66c90-3d9a-4a14-af22-5c941ace3d44,-4677.4236756326,6726136.9884854,Urban: Nearer to a major town or city,London,South England
113d24bd-2642-462b-aa93-d5e9a024cb8f,-11920.674297957,7088158.3826765,Urban: Nearer to a major town or city,Yorkshire and The Humber,North England
1627a689-82b3-45e1-b654-c4bd6d4a74e6,-256717.5689248,7095781.627024,Urban: Nearer to a major town or city,North West,North England
16f33d9d-63cb-41ff-be44-8af39065a883,-50433.4121517,6759557.4083038,Urban: Nearer to a major town or city,East of England,Mid England and Wales
1caef7ed-02ed-4e54-b352-7d60c1cdccbc,-12023.266574699,6621074.9023777,Urban: Nearer to a major town or city,South East,South England
1fa613bb-cd3f-411f-b41b-d33bb13d68a4,-173786.23258256,6851412.6138582,Urban: Nearer to a major town or city,West Midlands,Mid England and Wales
289cb84b-5dc6-47d1-a304-01003fc90314,-355515.75404159,7490791.1942827,SCOTLAND_NOT_IN_EW_LOOKUP,SCOTLAND_NOT_IN_EW_LOOKUP,Scotland and Northern Ireland
2c23ed2c-d96d-4f6f-b0b6-5bddc1d32678,-239311.74487294,7787498.7528926,SCOTLAND_NOT_IN_EW_LOOKUP,SCOTLAND_NOT_IN_EW_LOOKUP,Scotland and Northern Ireland
2cbddd08-5bc6-4b26-9262-252e887e5dc0,-2208.8273923639,6684518.1179506,Urban: Nearer to a major town or city,London,South England
2f6c7b60-b462-4f53-833b-8679fdc9f7a2,-140511.03108075,6728438.5499294,Urban: Nearer to a major town or city,South East,South England
2fc09eeb-9953-49fb-9261-33f538844ec1,-350580.49490727,7539735.1299447,SCOTLAND_NOT_IN_EW_LOOKUP,SCOTLAND_NOT_IN_EW_LOOKUP,Scotland and Northern Ireland
3320fdae-d384-4118-916d-c34ae595ac18,-204349.25445371,6720689.0059507,Urban: Nearer to a major town or city,South West,South England
3dd7e1f7-456b-4255-84ae-d26124524cae,48138.561115813,6676372.3641071,Urban: Nearer to a major town or city,South East,South England
436c8279-3b6d-47d8-b802-606d2c15ba3f,-315118.30963386,6593199.0594383,Smaller rural: Further from a major town or city,South West,South England
46b1856c-8cf2-46f6-828e-0976c9c988f6,-38697.439207501,6699346.3234405,Urban: Nearer to a major town or city,London,South England
4822bc1e-dbfe-41c4-a391-c59875418de1,-177743.24434066,7349724.1693296,Urban: Nearer to a major town or city,North East,North England
48e720a2-d636-4c49-ac5e-aeece5734853,-441517.41907245,7506300.6021392,SCOTLAND_NOT_IN_EW_LOOKUP,SCOTLAND_NOT_IN_EW_LOOKUP,Scotland and Northern Ireland
49856dd1-ef53-4c44-b849-f40828b93caf,-52467.568866118,7038254.0827892,Larger rural: Nearer to a major town or city,East Midlands,Mid England and Wales
49a29b88-7501-4753-9dc2-3f3efb6cf5f8,-354211.69969597,7546091.8127214,SCOTLAND_NOT_IN_EW_LOOKUP,SCOTLAND_NOT_IN_EW_LOOKUP,Scotland and Northern Ireland
