Metrics	Observed	No sparrow	Sparrow	No sparrow	Sparrow
	No sparrow	61.9%	16.4%	62.8%	15.5%
	Sparrow	16.4%	5.3%	15.6%	6.1%
Discrimination threshold			0.72		0.19
False positive rate (FPR)			21.0%		19.8%
True positive rate (TPR)			24.3%		28.0%
Positive likelihood ratio (PLR=TPR/FPR)			1.16		1.42
Matthews correlation coefficient (MCC)			0.03		0.08
Overall Brier score (lower is better)			0.30		0.19
Discrimination decomposition (higher is better)			0.05		0.06
Miscalibration decomposition (lower is better)			0.21		0.13
